Solvent,Enzyme,Temperature,aN,bN,aD,bD,m,D50
MeOH,NCR,25,0.7697413911747483,0.000782956859518053,0.0,1.198609724868001e-06,1495.8705870075414,19.19390342756774
MeOH,NCR,30,0.7780778755679516,0.0,0.04270073878604408,0.0009709085411387432,13703.848640005941,33.522126299248235
MeOH,NCR,35,0.7836514772817631,0.0,0.09868352672013539,0.0,2287.223297684616,33.47407528921478
MeOH,NCR,40,0.7968321659180518,0.0,0.10819255078629719,0.0,632.7418761763171,27.163841980874697
MeOH,NCR,45,0.8171168184013675,0.0018584417192345896,0.02782725175092235,0.0,16223.97620711953,19.752114356800398
MeOH,NCR,50,0.8574575913876368,0.0020231397763039957,0.0,0.0,1491.639647185813,18.852389985000208
MeOH,NCR,60,0.8937829296612922,0.0,0.08368918495290367,0.0,418.01125548481696,21.811405680719794
MeOH,NCR,70,0.9249980386390977,0.0,0.08110765444165184,0.0,526.0408632751454,16.321058058414682
MeOH,NCR,80,0.9462186755088114,0.0,0.08954774757319191,0.0,941.154897498547,12.155834935231566
MeOH,NerA,25,0.6000167002615251,0.0022293479520380057,0.003938101427392165,0.002646204552939823,1482.4409236662418,20.37036213484607
MeOH,NerA,30,0.6031024968469425,0.0023951160865774263,0.00490141966565934,0.00294491011099316,1477.2333071322257,20.867212272023576
MeOH,NerA,35,0.6361533325082189,0.0,0.21481678032012927,0.0,1240.8964412785567,21.921229943594888
MeOH,NerA,40,0.646424674365967,0.0,0.21415452683311287,0.0,893.597920340392,15.118338002903869
MeOH,NerA,45,0.6570604686901896,0.0007159905270560716,0.18673555016406787,0.0,988.1838538566623,7.679067806694336
MeOH,NerA,50,0.8124316573575586,0.0008069024657349894,0.04094435602402914,3.8023872040348053e-07,1404.8416078712025,11.806914723979103
MeOH,NerA,60,0.861023608739046,0.0,0.048985830104909645,0.0,885.7449898203909,22.67246601108795
MeOH,NerA,70,0.892285164779787,0.00040633811285145513,0.021499399554577164,3.737414556438726e-05,1496.3842061733712,18.81772650767078
MeOH,NerA,80,0.9184356782028632,0.0,0.04837346789053463,0.0,1398.1364190516879,2.911580848215501
MeOH,OYE1,25,0.6825933170764321,0.0015890356181055105,0.1543225631292492,0.0,655.4335535274441,28.25150718591997
MeOH,OYE1,30,0.6880836709697411,0.0017861736272404465,0.14982495661988113,0.0,679.3368875950814,27.949354796185258
MeOH,OYE1,35,0.7045807382371035,0.002230031050028965,0.04564294469503139,0.0019415096773313808,1467.1294869072901,22.24262357815167
MeOH,OYE1,40,0.7308848963509704,0.0032475530290179393,0.07075746730051974,0.0,1175.196932487113,13.294536703005722
